COMBUSTIBLE,ESTADO,MODELO,FECHA_DE_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,MODALIDAD,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_CARGA,CAPACIDAD_PASAJEROS,PESO,POTENCIA,EJES,CANTIDAD
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,AUTOMOVIL,Particular,BYD,E1,HATCH BACK,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1445,60,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,CUADRICICLO,Particular,RENAULT,TWIZY TECHNIC,SIN CARROCERIA,,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,680,15,2,1
ELECTRICO,ACTIVO,2014,2015,MOTO,MOTOCICLETA,Particular,YADEA,HAO GE (SPORTS),SIN CARROCERIA,60,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,1,0,1
ELECTRICO,ACTIVO,2016,2017,AUTOMOVIL,CAMIONETA,Particular,BYD,E6,WAGON,0,PASAJEROS,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,2850,0,2870,121,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Público,DONGFENG,RICH 6,DOBLE CABINA CON PLATON,,MIXTO,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,1255,,3220,161,,1
ELECTRICO,ACTIVO,2016,2017,AUTOMOVIL,CAMIONETA,Particular,BYD,E6,WAGON,0,PASAJEROS,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,2850,,2870,121,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,BYD,YUAN EV400,WAGON,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,2000,94,2,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,CAMIONETA,Particular,MAZDA,MX-30,WAGON,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2114,143,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,AUTOMOVIL,Particular,CHANGAN,E-STAR,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1555,74,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,AUTOMOVIL,Particular,NISSAN,LEAF,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1988,147,2,1
ELECTRICO,ACTIVO,2011,2011,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MBL B,SIN CARROCERIA,70,,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,0,,0,0,0,1
ELECTRICO,ACTIVO,2020,2021,MOTO,MOTOCICLETA,Particular,SONGI,SJ800DQT-F,SIN CARROCERIA,,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,1200,,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE INTENS,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,0,,1965,108,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,VOLVO,XC40,WAGON,,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2650,408,2,1
ELECTRICO,ACTIVO,2011,2011,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MLY B1,SIN CARROCERIA,70,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,0,,0,0,0,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2014,2015,MOTO,MOTOCICLETA,Particular,YADEA,X-MAN,SIN CARROCERIA,80,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,2,,1
