date, pm25, pm10, no2
2023/1/22, 82, , 6
2023/1/23, 70, , 7
2023/1/24, 58, , 9
2023/1/25, 65, , 11
2023/1/26, 69, , 10
2023/1/27, 72, , 10
2023/1/28, 66, , 11
2023/1/29, 74, , 8
2023/1/30, 73, , 11
2023/1/31, 73, , 10
2023/2/1, 74, , 
2023/2/2, 82, , 
2023/2/3, 89, , 
2023/2/4, 85, , 
2023/2/5, 102, , 
2023/2/6, 80, , 
2023/2/7, 77, , 
2023/2/8, 82, , 
2023/2/9, 70, , 
2023/2/10, 79, , 27
2023/2/11, 66, , 21
2023/2/12, 65, , 20
2023/2/13, 65, , 22
2023/2/14, 68, , 19
2023/2/15, 54, , 19
2023/2/16, 54, , 20
2023/2/17, 55, , 17
2023/2/18, 68, , 14
2023/2/19, 59, , 12
2023/2/20, 57, , 16
2023/2/21, 64, , 20
2023/2/22, 80, , 20
2023/2/23, 85, , 22
2023/2/24, 92, , 18
2023/2/25, 103, , 17
2023/2/26, 103, , 14
2023/2/27, 96, , 18
2023/2/28, 113, , 17
2023/3/1, 93, , 14
2023/3/2, 75, , 16
2023/3/3, 75, , 18
2023/3/4, 82, , 15
2023/3/5, 68, , 16
2023/3/6, 55, , 17
2023/3/7, 55, , 18
2023/3/8, 55, , 20
2023/3/9, 71, , 24
2023/3/10, 69, , 22
2023/3/11, 78, , 16
2023/3/12, 75, , 15
2023/3/13, 46, , 20
2023/3/14, 56, , 20
2023/3/15, 66, , 19
2023/3/16, 66, , 18
2023/3/17, 65, , 17
2023/3/18, 61, , 14
2023/3/19, 66, , 12
2023/3/20, 73, , 9
2023/3/21, 76, , 14
2023/3/22, 91, , 19
2023/3/23, 103, , 19
2023/3/24, 119, , 18
2023/3/25, 107, , 18
2023/3/26, 93, , 12
2023/3/27, 91, , 20
2023/3/28, 95, , 21
2023/3/29, 91, , 20
2023/3/30, 83, , 19
2023/3/31, 96, , 16
2023/4/1, 72, , 16
2022/10/2, 71, , 10
2022/10/3, 66, , 12
2022/10/4, 42, , 17
2022/10/5, 48, , 14
2022/10/6, 59, , 13
2022/10/7, 62, , 12
2022/10/8, 61, , 9
2022/10/9, 48, , 9
2022/10/10, 60, , 12
2022/10/11, 60, , 11
2022/10/12, 63, , 14
2022/10/13, 74, , 14
2022/10/14, 77, , 14
2022/10/15, 87, , 15
2022/10/16, 89, , 8
2022/10/17, 75, , 6
2022/10/18, 49, , 15
2022/10/19, 60, , 15
2022/10/20, 67, , 8
2022/10/21, 69, , 12
2022/10/22, 72, , 10
2022/10/23, 73, , 9
2022/10/24, 58, , 10
2022/10/25, 65, , 9
2022/10/26, 79, , 9
2022/10/27, 58, , 6
2022/10/28, 56, , 5
2022/10/29, 56, , 5
2022/10/30, 43, , 2
2022/10/31, 28, , 8
2022/11/1, 41, , 9
2022/11/2, 75, , 10
2022/11/3, 69, , 10
2022/11/4, 67, , 6
2022/11/5, 55, , 5
2022/11/6, 43, , 4
2022/11/7, 32, , 6
2022/11/8, 47, , 11
2022/11/9, 56, , 12
2022/11/10, 60, , 14
2022/11/11, 53, , 14
